rank,ticker,name,sector,price,trailing_pe,mcap_b
358,PLD,"Prologis, Inc.",Real Estate,140.27,35.332493,130.77905408
359,MLM,"Martin Marietta Materials, Inc.",Basic Materials,569.72,35.74153,34.209347584
360,WAB,Westinghouse Air Brake Technolo,Industrials,253.655,35.826977,43.039506432
361,CTAS,Cintas Corporation,Industrials,171.2,36.118145,68.503437312
362,CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,178.3615,36.178802,21.024012288
363,MSCI,MSCI Inc.,Financial Services,634.1425,36.257435,46.119657472
364,J,Jacobs Solutions Inc.,Industrials,123.09,36.30973,14.534575104
365,ADSK,"Autodesk, Inc.",Technology,249.825,36.470802,52.749361152
366,ADM,Archer-Daniels-Midland Company,Consumer Defensive,82.1,36.651783,39.56862976
367,AAPL,Apple Inc.,Technology,305.77,36.973396,4490.952441856
368,HON,Honeywell International Inc.,Industrials,233.34,37.274757,147.856621568
369,NWS,News Corporation,Communication Services,30.005,37.98101,16.375728128
370,CCI,Crown Castle Inc.,Real Estate,90.38,38.13502,39.446528
371,LLY,Eli Lilly and Company,Healthcare,1077.5,38.236336,960.851345408
372,IBKR,"Interactive Brokers Group, Inc.",Financial Services,89.15,38.261803,151.560192
373,FAST,Fastenal Company,Industrials,43.685,38.659294,50.15191552
374,TDG,Transdigm Group Incorporated,Industrials,1248.495,38.906044,69.832802304
375,MAR,Marriott International,Consumer Cyclical,372.818,39.079453,98.307866624
376,ETN,"Eaton Corporation, PLC",Industrials,400.07,39.145794,155.34718976
377,MAA,Mid-America Apartment Communiti,Real Estate,129.61,39.275757,15.465925632
378,CVS,CVS Health Corporation,Healthcare,90.34,39.622807,115.267264512
379,GE,GE Aerospace,Industrials,319.97,39.69851,334.314143744
380,CSCO,"Cisco Systems, Inc.",Technology,120.08,40.02667,473.287491584
381,WMT,Walmart Inc.,Consumer Defensive,113.915,40.110916,908.01537024
382,APTV,Aptiv PLC,Consumer Cyclical,67.56,40.214287,14.297081856
383,KR,Kroger Company (The),Consumer Defensive,62.21,40.396103,38.356242432
384,CVNA,Carvana Co.,Consumer Cyclical,69.8425,40.606102,76.605743104
385,JCI,Johnson Controls International ,Industrials,132.935,40.652905,81.1057152
386,FICO,Fair Isaac Corporation,Technology,1295.18,41.10378,30.03639808
387,WST,"West Pharmaceutical Services, I",Healthcare,311.62,41.60481,22.01520128
388,IDXX,"IDEXX Laboratories, Inc.",Healthcare,567.055,41.756626,44.730998784
389,CTVA,"Corteva, Inc.",Basic Materials,77.6,41.945946,51.900428288
390,APH,Amphenol Corporation,Technology,146.34,42.051723,180.032503808
391,WY,Weyerhaeuser Company,Real Estate,23.655,42.241074,17.056264192
392,TPR,"Tapestry, Inc.",Consumer Cyclical,138.335,42.304283,27.949856768
393,CARR,Carrier Global Corporation,Industrials,63.541,42.36067,52.775911424
394,ROL,"Rollins, Inc.",Consumer Cyclical,46.325,42.5,22.303803392
395,JBHT,"J.B. Hunt Transport Services, I",Industrials,276.15,42.880432,26.040723456
396,CAT,"Caterpillar, Inc.",Industrials,860.5,42.896313,396.339380224
397,MNST,Monster Beverage Corporation,Consumer Defensive,88.915,42.95411,86.95959552
398,AMAT,"Applied Materials, Inc.",Technology,458.412,43.16497,363.960532992
399,HOOD,"Robinhood Markets, Inc.",Financial Services,89.58,43.48544,80.667246592
400,ORCL,Oracle Corporation,Technology,244.665,43.846775,703.667765248
401,TYL,"Tyler Technologies, Inc.",Technology,327.57,45.307056,13.476412416
402,ODFL,"Old Dominion Freight Line, Inc.",Industrials,224.09,46.685413,46.60361216
403,ROK,"Rockwell Automation, Inc.",Industrials,451.28,46.95942,50.21571072
404,TSN,"Tyson Foods, Inc.",Consumer Defensive,60.175,47.38189,21.18938624
405,EW,Edwards Lifesciences Corporatio,Healthcare,87.785,47.45135,50.54660608
406,WAT,Waters Corporation,Healthcare,373.36,47.50127,36.658671616
407,IR,Ingersoll Rand Inc.,Industrials,70.61,47.709457,27.632293888
408,MOH,Molina Healthcare Inc,Healthcare,178.06,47.737263,9.276925952
409,JBL,Jabil Inc.,Technology,356.835,47.961693,37.647028224
410,Q,"Qnity Electronics, Inc.",Technology,149.685,48.285484,31.334938624
411,WDAY,"Workday, Inc.",Technology,157.4,48.881985,38.873624576
412,COST,Costco Wholesale Corporation,Consumer Defensive,941.47,48.98387,417.685536768
413,MU,"Micron Technology, Inc.",Technology,1037.98,49.030704,1170.56536576
414,O,Realty Income Corporation,Real Estate,59.967,49.15328,55.918780416
415,DLR,"Digital Realty Trust, Inc.",Real Estate,185.91,49.44415,66.499833856
416,RVTY,"Revvity, Inc.",Healthcare,102.915,49.478367,11.481174016
417,HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical,327.15,49.946564,74.475159552
418,TXN,Texas Instruments Incorporated,Technology,293.19,50.203766,266.830102528
419,ISRG,"Intuitive Surgical, Inc.",Healthcare,417.915,50.717842,148.009975808
420,TPL,Texas Pacific Land Corporation,Energy,376.845,51.835625,25.992669184
421,AKAM,"Akamai Technologies, Inc.",Technology,153.73,51.93581,22.350104576
422,DELL,Dell Technologies Inc.,Technology,451.965,52.129757,293.58211072
423,FIX,"Comfort Systems USA, Inc.",Industrials,1813.4742,52.488403,63.805218816
424,APP,Applovin Corporation,Communication Services,607.9,52.723335,204.217647104
425,KEYS,Keysight Technologies Inc.,Technology,329.1,52.825043,56.190042112
426,KLAC,KLA Corporation,Technology,1913.695,54.12033,249.981222912
427,FTNT,"Fortinet, Inc.",Technology,144.23,55.9031,105.669869568
428,SW,Smurfit WestRock plc,Consumer Cyclical,40.56,56.333332,21.272262656
429,COF,Capital One Financial Corporati,Financial Services,184.37,56.72923,114.732122112
430,EA,Electronic Arts Inc.,Communication Services,201.78,57.48718,50.596634624
431,ANET,"Arista Networks, Inc.",Technology,168.91,58.244827,212.686307328
432,ARES,Ares Management Corporation,Financial Services,128.28,59.115204,42.31272448
433,HWM,Howmet Aerospace Inc.,Industrials,256.07,59.412994,102.455525376
434,DOC,"Healthpeak Properties, Inc.",Real Estate,19.115,59.734375,13.178257408
435,XYZ,"Block, Inc.",Technology,76.775,59.980473,45.695021056
436,LRCX,Lam Research Corporation,Technology,316.79,59.998104,396.1683968
437,SNDK,Sandisk Corporation,Technology,1764.53,60.18179,261.3088256
438,ADI,"Analog Devices, Inc.",Technology,405.495,60.521645,197.511364608
439,COIN,"Coinbase Global, Inc.",Financial Services,180.675,66.42463,47.600775168
440,TER,"Teradyne, Inc.",Technology,368.55,68.376625,57.693609984
441,MGM,MGM Resorts International,Consumer Cyclical,50.63,69.35616,12.95374848
442,SBUX,Starbucks Corporation,Consumer Cyclical,95.96,73.25191,109.365608448
443,EQIX,"Equinix, Inc.",Real Estate,1057.36,73.325935,104.28133376
444,TECH,Bio-Techne Corp,Healthcare,51.35,73.35714,8.039804928
445,TKO,"TKO Group Holdings, Inc.",Communication Services,208.76,77.60594,15.650250752
446,DASH,"DoorDash, Inc.",Consumer Cyclical,164.595,78.37858,71.717126144
447,OXY,Occidental Petroleum Corporatio,Energy,59.51,80.418915,59.190710272
448,NOW,"ServiceNow, Inc.",Technology,135.47,80.63691,139.711299584
449,APO,"Apollo Global Management, Inc. ",Financial Services,129.07,80.668755,74.411114496
450,GNRC,Generac Holdlings Inc.,Industrials,266.38,83.24375,15.681439744
451,GLW,Corning Incorporated,Technology,175.07,84.168274,150.671867904
452,STX,Seagate Technology Holdings PLC,Technology,918.725,87.000465,206.004781056
453,ON,ON Semiconductor Corporation,Technology,119.47,87.84559,46.45031936
454,BA,Boeing Company (The),Industrials,224.52,89.09524,176.989650944
455,AVGO,Broadcom Inc.,Technology,461.86,89.88911,2187.558780928
456,PWR,"Quanta Services, Inc.",Industrials,687.345,94.67561,103.143088128
457,CDNS,"Cadence Design Systems, Inc.",Technology,407.375,95.403984,112.360546304
458,WELL,Welltower Inc.,Real Estate,199.905,96.572464,141.115817984
459,ABBV,AbbVie Inc.,Healthcare,211.66,103.24879,373.95939328
460,MPWR,"Monolithic Power Systems, Inc.",Technology,1535.6,110.15782,75.444027392
461,SNPS,"Synopsys, Inc.",Technology,487.58,111.319626,93.361487872
462,DD,"DuPont de Nemours, Inc.",Basic Materials,47.45,124.86842,19.220013056
463,IRM,Iron Mountain Incorporated (Del,Real Estate,129.1,140.3261,38.410436608
464,NRG,"NRG Energy, Inc.",Utilities,130.805,143.74174,27.598082048
465,VTR,"Ventas, Inc.",Real Estate,82.345,149.71819,40.03364864
466,PANW,"Palo Alto Networks, Inc.",Technology,294.3,163.5,238.677295104
467,MOS,Mosaic Company (The),Basic Materials,23.25,166.07143,7.389934592
468,AMD,"Advanced Micro Devices, Inc.",Technology,507.5,169.73244,827.529822208
469,PLTR,Palantir Technologies Inc.,Technology,160.975,180.8708,385.907326976
470,AXON,"Axon Enterprise, Inc.",Industrials,476.18,192.78542,38.38109696
471,FANG,"Diamondback Energy, Inc.",Energy,199.66,203.7347,56.167018496
472,GPC,Genuine Parts Company,Consumer Cyclical,97.11,220.77272,13.51432192
473,PSKY,Paramount Skydance Corporation,Communication Services,10.7,356.66666,11.97515264
474,CIEN,Ciena Corporation,Technology,564.28,359.41403,79.788310528
475,TSLA,"Tesla, Inc.",Consumer Cyclical,419.135,384.52753,1574.155321344
476,MCHP,Microchip Technology Incorporat,Technology,91.27,414.86362,49.475575808
477,CSGP,"CoStar Group, Inc.",Real Estate,32.635,466.21426,13.326688256
478,DDOG,"Datadog, Inc.",Technology,275.22,688.05,97.967366144
